#Pin Out file generated by Lattice Diamond Version 3.11.3
#Generated at Tue Mar 16 21:58:26 2021
#DEVICE=LCMXO2-7000HC
#PACKAGE=TQFP144
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
240, GND, , , -, , -, -, +, 
241, PB32D, IO, 2, -, Comp_OF_PB32C, -, -, +, 
242, PB34C, IO, 2, -, True_OF_PB34D, -, -, +, 
243, VCCIO2, , 2, -, , -, -, +, 
244, PB34D, IO, 2, -, Comp_OF_PB34C, -, -, +, 
245, PB34A, IO, 2, -, True_OF_PB34B, -, -, +, 
246, VCCIO2, , 2, -, , -, -, +, 
247, PB34B, IO, 2, -, Comp_OF_PB34A, -, -, +, 
248, PB35A, IO, 2, -, True_OF_PB35B, 65, -, +, 
249, VCCIO2, , 2, -, , 66, -, +, 
250, NC_VCCINT, , , -, , -, -, +, 
251, PB35B, IO, 2, -, Comp_OF_PB35A, 67, -, +, 
252, PB35C, IO, 2, -, True_OF_PB35D, -, -, +, 
253, VCC, , , -, , -, -, +, 
254, PB35D, IO, 2, -, Comp_OF_PB35C, -, -, +, 
255, PB37A, IO, 2, -, True_OF_PB37B, 68, -, +, 
256, VCC, , , -, , -, -, +, 
257, PB37B, IO, 2, -, Comp_OF_PB37A, 69, -, +, 
258, PB37C, IO, 2, -, True_OF_PB37D, -, -, +, 
259, GND, , , -, , -, -, -, 
260, PB37D, IO, 2, -, Comp_OF_PB37C, -, -, -, 
261, NC_PB38A, , , -, , -, -, -, 
262, PB38A, IO, 2, SN, True_OF_PB38B, 70, -, -, 
263, VCCIO2, , 2, -, , -, -, -, 
264, PB38B, IO, 2, SI/SISPI, Comp_OF_PB38A, 71, -, -, 
265, PB38C, IO, 2, -, True_OF_PB38D, -, -, -, 
266, NC_PB38B, , , -, , -, -, -, 
267, GND, , , -, , -, -, +, 
268, PB38D, IO, 2, -, Comp_OF_PB38C, -, -, +, 
269, VCC, , , -, , 72, -, +, 
270, PR25D, IO, 1, -, Comp_OF_PR25C, -, -, -, 
271, GND, , , -, , -, -, +, 
272, PR25B, IO, 1, -, Comp_OF_PR25A, -, -, +, 
273, PR25C, IO, 1, -, True_OF_PR25D, -, -, +, 
274, VCCIO1, , 1, -, , -, -, +, 
275, PR25A, IO, 1, -, True_OF_PR25B, -, -, +, 
276, PR24D, IO, 1, -, Comp_OF_PR24C, -, -, +, 
277, GND, , , -, , -, -, -, 
278, PR24B, IO, 1, -, Comp_OF_PR24A, 73, DQ1, -, 
279, PR24C, IO, 1, -, True_OF_PR24D, -, -, -, 
280, VCC, , , -, , -, -, -, 
281, PR24A, IO, 1, -, True_OF_PR24B, 74, DQ1, -, 
282, PR23D, IO, 1, -, Comp_OF_PR23C, -, -, -, 
283, VCCIO1, , 1, -, , -, -, -, 
284, PR23B, IO, 1, -, Comp_OF_PR23A, 75, DQ1, -, 
285, PR23C, IO, 1, -, True_OF_PR23D, -, -, -, 
286, VCCIO1, , 1, -, , -, -, -, 
287, PR23A, IO, 1, -, True_OF_PR23B, 76, DQ1, -, 
288, PR22D, IO, 1, -, Comp_OF_PR22C, -, -, -, 
289, GND, , , -, , -, -, +, 
290, PR22B, IO, 1, -, Comp_OF_PR22A, -, -, +, 
291, PR22C, IO, 1, -, True_OF_PR22D, -, -, +, 
292, GND, , , -, , -, -, -, 
293, PR22A, IO, 1, -, True_OF_PR22B, -, -, -, 
294, PR21D, IO, 1, -, Comp_OF_PR21C, -, -, -, 
295, VCCIO1, , 1, -, , 79, -, -, 
296, PR21B, IO, 1, -, Comp_OF_PR21A, 77, DQ1, -, 
297, PR21C, IO, 1, -, True_OF_PR21D, -, -, -, 
298, GND, , , -, , 80, -, +, 
299, PR21A, IO, 1, -, True_OF_PR21B, 78, DQ1, +, 
300, PR19D, IO, 1, -, Comp_OF_PR19C, -, DQ1, +, 
301, GND, , , -, , -, -, -, 
302, PR19B, IO, 1, -, Comp_OF_PR19A, -, -, -, 
303, PR19C, IO, 1, -, True_OF_PR19D, -, DQ1, -, 
304, VCCIO1, , 1, -, , -, -, -, 
305, PR19A, IO, 1, -, True_OF_PR19B, -, -, -, 
306, PR18D, IO, 1, -, Comp_OF_PR18C, -, -, -, 
307, GND, , , -, , -, -, +, 
308, PR18B, IO, 1, -, Comp_OF_PR18A, 81, DQ1, +, 
309, PR18C, IO, 1, -, True_OF_PR18D, -, -, +, 
310, VCC, , , -, , -, -, +, 
311, PR18A, IO, 1, -, True_OF_PR18B, 82, DQ1, +, 
312, PR17D, IO, 1, -, Comp_OF_PR17C, -, -, +, 
313, VCC, , , -, , -, -, +, 
314, PR17B, IO, 1, -, Comp_OF_PR17A, 83, DQ1, +, 
315, PR17C, IO, 1, -, True_OF_PR17D, -, -, +, 
316, VCCIO1, , 1, -, , -, -, +, 
317, PR17A, IO, 1, -, True_OF_PR17B, 84, DQ1, +, 
318, PR16D, IO, 1, -, Comp_OF_PR16C, -, -, +, 
319, VCCIO1, , 1, -, , -, -, +, 
320, PR16B, IO, 1, -, Comp_OF_PR16A, 85, DQS1N, +, 
321, PR16C, IO, 1, -, True_OF_PR16D, -, -, +, 
322, GND, , , -, , -, -, -, 
323, PR16A, IO, 1, -, True_OF_PR16B, 86, DQS1, -, 
324, PR15D, IO, 1, -, Comp_OF_PR15C, -, -, -, 
325, VCC, , , -, , -, -, -, 
326, PR15B, IO, 1, -, Comp_OF_PR15A, 87, -, -, 
327, PR15C, IO, 1, -, True_OF_PR15D, -, -, -, 
328, VCCIO1, , 1, -, , 88, -, -, 
329, PR15A, IO, 1, -, True_OF_PR15B, 89, -, -, 
330, PR12D, IO, 1, -, Comp_OF_PR12C, -, -, -, 
331, GND, , , -, , 90, -, +, 
332, PR12B, IO, 1, PCLKC1_0, Comp_OF_PR12A, 91, DQ0, +, 
333, PR12C, IO, 1, -, True_OF_PR12D, -, -, +, 
334, NC_GND, , , -, , -, -, +, 
335, PR12A, IO, 1, PCLKT1_0, True_OF_PR12B, 92, DQ0, +, 
336, NC_VCCIO1, , , -, , -, -, +, 
337, PR11D, IO, 1, -, Comp_OF_PR11C, -, -, +, 
338, VCCIO1, , 1, -, , -, -, +, 
339, PR11B, IO, 1, -, Comp_OF_PR11A, 93, DQS0N, +, 
340, PR11C, IO, 1, -, True_OF_PR11D, -, -, +, 
341, VCC, , , -, , -, -, +, 
342, PR11A, IO, 1, -, True_OF_PR11B, 94, DQS0, +, 
343, PR10D, IO, 1, -, Comp_OF_PR10C, -, -, +, 
344, NC_VCC, , , -, , -, -, +, 
345, PR10B, IO, 1, -, Comp_OF_PR10A, -, -, +, 
346, PR10C, IO, 1, -, True_OF_PR10D, -, -, +, 
347, GND, , , -, , -, -, -, 
348, PR10A, IO, 1, -, True_OF_PR10B, -, -, -, 
349, PR9D, IO, 1, -, Comp_OF_PR9C, -, -, -, 
350, GND, , , -, , -, -, +, 
351, PR9B, IO, 1, -, Comp_OF_PR9A, 95, DQ0, +, 
352, PR9C, IO, 1, -, True_OF_PR9D, -, -, +, 
353, VCCIO1, , 1, -, , -, -, +, 
354, PR9A, IO, 1, -, True_OF_PR9B, 96, DQ0, +, 
355, PR8D, IO, 1, -, Comp_OF_PR8C, -, -, +, 
356, VCCIO1, , 1, -, , -, -, +, 
357, PR8B, IO, 1, -, Comp_OF_PR8A, -, -, +, 
358, PR8C, IO, 1, -, True_OF_PR8D, -, -, +, 
359, GND, , , -, , -, -, -, 
360, PR8A, IO, 1, -, True_OF_PR8B, -, -, -, 
361, PR7D, IO, 1, -, Comp_OF_PR7C, -, -, -, 
362, VCC, , , -, , -, -, -, 
363, PR7B, IO, 1, -, Comp_OF_PR7A, 97, DQ0, -, 
364, PR7C, IO, 1, -, True_OF_PR7D, -, -, -, 
365, GND, , , -, , -, -, +, 
366, PR7A, IO, 1, -, True_OF_PR7B, 98, DQ0, +, 
367, PR6D, IO, 1, -, Comp_OF_PR6C, -, -, +, 
368, VCCIO1, , 1, -, , -, -, +, 
369, PR6B, IO, 1, -, Comp_OF_PR6A, -, -, +, 
370, PR6C, IO, 1, -, True_OF_PR6D, -, -, +, 
371, VCC, , , -, , -, -, +, 
372, PR6A, IO, 1, -, True_OF_PR6B, -, -, +, 
373, PR5D, IO, 1, -, Comp_OF_PR5C, -, -, +, 
374, VCC, , , -, , -, -, +, 
375, PR5B, IO, 1, -, Comp_OF_PR5A, 99, DQ0, +, 
376, PR5C, IO, 1, -, True_OF_PR5D, -, -, +, 
377, GND, , , -, , -, -, -, 
378, PR5A, IO, 1, -, True_OF_PR5B, 100, DQ0, -, 
379, PR4D, IO, 1, -, Comp_OF_PR4C, -, -, -, 
380, GND, , , -, , 101, -, +, 
381, PR4B, IO, 1, -, Comp_OF_PR4A, -, -, +, 
382, PR4C, IO, 1, -, True_OF_PR4D, 103, -, +, 
383, VCCIO1, , 1, -, , 102, -, +, 
384, PR4A, IO, 1, -, True_OF_PR4B, -, -, +, 
385, PR3D, IO, 1, -, Comp_OF_PR3C, -, -, +, 
386, VCC, , , -, , -, -, +, 
387, PR3B, IO, 1, R_GPLLC_IN, Comp_OF_PR3A, 104, DQ0, +, 
388, PR3C, IO, 1, -, True_OF_PR3D, -, -, +, 
389, GND, , , -, , -, -, -, 
390, PR3A, IO, 1, R_GPLLT_IN, True_OF_PR3B, 105, DQ0, -, 
391, PR2D, IO, 1, -, Comp_OF_PR2C, -, -, -, 
392, VCCIO1, , 1, -, , -, -, -, 
393, PR2B, IO, 1, R_GPLLC_FB, Comp_OF_PR2A, 106, DQ0, -, 
394, PR2C, IO, 1, -, True_OF_PR2D, -, -, -, 
395, GND, , , -, , -, -, +, 
396, PR2A, IO, 1, R_GPLLT_FB, True_OF_PR2B, 107, DQ0, +, 
397, NC_TEMPSENSE, , , -, , -, -, +, 
398, VCC, , , -, , 108, -, +, 
399, PT36B, IO, 0, -, Comp_OF_PT36A(LVDS)*, -, -, -, 
400, GND, , , -, , -, -, +, 
401, NC_TEMPSENSEVSS, , , -, , -, -, +, 
402, PT36D, IO, 0, DONE, Comp_OF_PT36C, 109, -, +, 
403, PT36A, IO, 0, -, True_OF_PT36B(LVDS)*, -, -, +, 
404, VCCIO0, , 0, -, , -, -, +, 
405, PT36C, IO, 0, INITN, True_OF_PT36D, 110, -, +, 
406, PT35D, IO, 0, -, Comp_OF_PT35C, -, -, +, 
407, GND, , , -, , -, -, -, 
408, NC_NEG_HV_MON, , , -, , -, -, -, 
409, PT35B, IO, 0, -, Comp_OF_PT35A(LVDS)*, 111, -, -, 
410, PT35C, IO, 0, -, True_OF_PT35D, -, -, -, 
411, VCC, , , -, , -, -, -, 
412, PT35A, IO, 0, -, True_OF_PT35B(LVDS)*, 112, -, -, 
413, PT34B, IO, 0, -, Comp_OF_PT34A(LVDS)*, -, -, -, 
414, VCC, , , -, , -, -, -, 
415, NC_POS_HV_MON, , , -, , -, -, -, 
416, PT34D, IO, 0, -, Comp_OF_PT34C, -, -, -, 
417, PT34A, IO, 0, -, True_OF_PT34B(LVDS)*, -, -, -, 
418, VCCIO0, , 0, -, , -, -, -, 
419, PT34C, IO, 0, -, True_OF_PT34D, -, -, -, 
420, PT33D, IO, 0, -, Comp_OF_PT33C, -, -, -, 
421, VCCIO0, , 0, -, , -, -, -, 
422, PT33B, IO, 0, -, Comp_OF_PT33A(LVDS)*, 113, -, -, 
423, PT33C, IO, 0, -, True_OF_PT33D, -, -, -, 
424, NC_GND, , , -, , -, -, -, 
425, GND, , , -, , -, -, +, 
426, PT33A, IO, 0, -, True_OF_PT33B(LVDS)*, 114, -, +, 
427, PT32B, IO, 0, -, Comp_OF_PT32A(LVDS)*, -, -, +, 
428, VCC, , , -, , -, -, +, 
429, PT32D, IO, 0, -, Comp_OF_PT32C, -, -, +, 
430, PT32A, IO, 0, -, True_OF_PT32B(LVDS)*, -, -, +, 
431, NC_VCCIO0, , , -, , -, -, +, 
432, VCCIO0, , 0, -, , -, -, +, 
433, PT32C, IO, 0, -, True_OF_PT32D, -, -, +, 
434, PT28D, IO, 0, -, Comp_OF_PT28C, -, -, +, 
435, GND, , , -, , 116, -, -, 
436, PT28B, IO, 0, -, Comp_OF_PT28A(LVDS)*, 115, -, -, 
437, PT28C, IO, 0, -, True_OF_PT28D, -, -, -, 
438, VCCIO0, , 0, -, , 118, -, -, 
439, PT28A, IO, 0, -, True_OF_PT28B(LVDS)*, 117, -, -, 
440, PT27B, IO, 0, -, Comp_OF_PT27A(LVDS)*, -, -, -, 
441, GND, , , -, , -, -, +, 
